scenario,coal,gas,bio,nuclear,tot,sort_key
Base,251,757,0,0,1009,0
DemandResponse,228,490,0,0,718,718
PreRetiredThermalPower,277,498,0,0,775,775
FreeTrade,247,551,0,0,798,798
WithoutDLS,256,676,0,0,931,931
WithoutHPExpansion,257,805,0,0,1062,1062
SlowerNuclearExpansion,263,813,0,0,1076,1076
HigherDLS,245,846,0,0,1091,1091
LowerVRESupply,419,901,0,0,1319,1319
HigherElecDemand,326,1055,0,0,1381,1381
LimitedTxExpansion,347,1114,0,0,1461,1461
HigherHeatElectrification,351,1130,0,0,1480,1480
SlowerTechAdvancement,323,1556,0,0,1878,1878
DemandingDLS,622,2881,0,0,3503,3503
