region,emis_sp,bio_poten,carbon_poten,dem,therm,bio,heat,"Cost
[$/tCO2]","Demand
[TWh/yr]"
Afghanistan,69.33481249,203468510.8,12.26026,192,173.8642467,129.5990252,0.203468511,69.33481249,192
Algeria,112.3473045,180536275.7,77.633562,263,11287.1278,4822.66712,0.180536276,112.3473045,263
BalkanWest,119.1720242,908915767.2,6.15491,151,3698.683599,1633.524978,0.908915767,119.1720242,151
Belarus,125.2025827,366112385.4,1.780839,113,8891.049027,3843.389584,0.366112385,125.2025827,113
BritishIsles,92.72356719,654861868.3,29.66092,530,7076.871557,12602.91892,0.654861868,92.72356719,530
Cambodia,87.56898743,689123455.2,8.040553,90,474.7399674,266.8450891,0.689123455,87.56898743,90
Caucas,102.6370973,252241909.5,15.999085,61,642.3399051,309.0399223,0.25224191,102.6370973,61
China,107.1381493,19512129814,142.440748,14832,343560.348,191324.4531,19.51212981,107.1381493,14832
Denmark,89.06490336,149147029.2,6.1097,86,1033.133346,992.3446109,0.149147029,89.06490336,86
EU,105.0804032,895357588.1,0.076116,101,499.4673164,4224.386177,0.895357588,105.0804032,101
Egypt,106.458115,411023779.8,49.512949,688,21099.15421,9092.166358,0.41102378,106.458115,688
Gaza,113.4900679,7549682.711,3.713114,41,492.1806072,188.9845688,0.007549683,113.4900679,41
Indonesia,80.43117692,11198510436,139.320672,872,35177.43968,22110.32065,11.19851044,80.43117692,872
Iran,107.7639206,570337816.2,59.57602,418,5057.768486,2182.400986,0.570337816,107.7639206,418
Iraq,105.5726315,102161346.3,18.509992,352,7891.234605,3404.302396,0.102161346,105.5726315,352
Israel,107.1815671,13971881.77,1.780635,117,3017.839513,1270.923016,0.013971882,107.1815671,117
Kazakhstan,112.3804366,824251714.8,79.948069,229,10659.90716,5392.966575,0.824251715,112.3804366,229
KyrgyzstanTajikistan,108.9733516,139050813.4,2.975614,63,1383.993741,621.0727261,0.139050813,108.9733516,63
Laos,85.84368536,1319573716,0.063372,39,198.3182266,185.6606602,1.319573716,85.84368536,39
Lebanon,113.906307,15098053.33,0.589932,76,292.2523843,140.8139386,0.015098053,113.906307,76
Libya,108.9810469,22892757.46,66.740575,64,981.3515213,407.9152319,0.022892757,108.9810469,64
Malaysia,103.549277,1118320614,24.126036,399,31106.56846,13553.33759,1.118320614,103.549277,399
Mongolia,98.80062888,141482872.7,10.610817,11,442.8683946,230.6661072,0.141482873,98.80062888,11
Morocco,109.8150126,292026076.3,24.384102,227,1207.178941,541.3778997,0.292026076,109.8150126,227
Myanmar,102.7632806,2419060395,1.003735,287,8881.861987,3922.089176,2.419060395,102.7632806,287
NorthKorea,99.83505885,332651726.4,2.71725,64,252.4885444,161.3283335,0.332651726,99.83505885,64
