lon,lat,region,grid,tot_cap
95.0066,29.1784,China,Tibet,60
111.0183333,30.82,China,Central,22.5
102.9033333,27.2226,China,Central,16
-177.793723,67.87127704,Russia,Fareast,7.156090727
-54.62,-25.45666667,CentralSouthAmerica,CentralSouthAmerica,14
103.6495833,28.25958333,China,Central,13.86
-51.95377383,-3.427107167,Brazil,North,11
127.6357586,70.82083333,Russia,Fareast,5.436367538
102.6358333,26.318,China,South,10.2
95.19501061,29.88251061,China,Tibet,4.413330089
-49.65833333,-3.669166667,Brazil,North,8.37
13.79832005,-5.294153381,Congo,Congo,3.963547263
104.3924,28.64333333,China,South,7.75
-62.99916667,7.792101,Venezuela,Venezuela,7.25
95.24693761,29.825,China,Tibet,3.331612158
107.0391667,25.02916667,China,South,6.3
95.33297315,29.71083333,China,Tibet,3.148690358
30.62572099,21.04322099,SudanEriteria,SudanEriteria,3.012529935
92.29318833,55.93402167,Russia,Siberia,6
100.1966667,23.02666667,China,South,5.85
-77.53333333,53.7675,Canada,East,5.616
-65.03416667,53.8725,Canada,East,5.429
95.20916667,29.86018801,China,Tibet,2.665302137
26.13357885,-17.92166667,SouthEastAfrica,SouthEastAfrica,2.517841522
26.93582032,-17.97333333,SouthEastAfrica,SouthEastAfrica,2.467729919
72.805,34.13833333,Pakistan,North,4.888
101.6441667,28.24833333,China,Central,4.8
101.9658333,56.09083333,Russia,Siberia,4.5
95.16390194,29.78609806,China,Tibet,2.191467129
103.7658333,29.54916667,China,Central,4.26
100.0633333,27.0817,China,South,4.2
99.32333333,25.5975,China,South,4.2
101.17,36.06166667,China,Northwest,4.2
32.9975,19.48814704,SudanEriteria,SudanEriteria,2.032898578
101.9578346,25.99033456,China,South,2.021186395
98.72700123,22.0663321,Myanmar,Myanmar,2.00030795
98.90666667,30.68418168,China,Central,1.973093243
33.70333333,18.60777005,SudanEriteria,SudanEriteria,1.956569367
95.05665166,29.76916667,China,Tibet,1.925229894
102.9496495,71.54916667,Russia,Siberia,1.924123968
102.6925,57.98416667,Russia,Siberia,3.84
-64.64833333,-9.267428,Brazil,North,3.75
142.6159595,65.54166667,Russia,Fareast,1.855957451
95.18530564,18.87666667,Myanmar,Myanmar,1.80934064
94.07531667,29.72948333,China,Tibet,3.6
101.54,28.05416667,China,Central,3.6
142.5467737,67.35916667,Russia,Fareast,1.79174608
-63.95,-8.800833333,Brazil,North,3.58
-51.37166667,-20.38666667,Brazil,North,3.444
95.1576424,29.75847574,China,Tibet,1.718108276
26.92083333,-4.903675625,Congo,Congo,1.711350375
98.86539767,26.20539767,China,South,1.708116754
37.53833333,9.994495941,Ethiopia,Ethiopia,1.69509193
101.9491667,27.7075,China,Central,3.3
98.62463981,22.90583333,Myanmar,Myanmar,1.643286015
98.77916667,30.92300316,China,Central,1.629176289
94.94896365,29.755,China,Tibet,1.592723102
