region,grid,tot_cap
Afghanistan,Afghanistan,8.430440749
Algeria,Algeria,0.224007193
Argentina,NorthEastUruguay,1.162842908
Argentina,West,6.412162034
Australia,East,5.807800143
Australia,West,0.030001375
AustriaHungary,AustriaHungary,7.980304427
BalkanEast,BalkanEast,10.56280285
BalkanWest,BalkanWest,9.065632192
Baltic,Baltic,1.661
Bangladesh,Bangladesh,0.343612469
Benelux,Benelux,0.102513781
Brazil,North,50.38874042
Brazil,Northeast,12.38023429
Brazil,SanPaulo,5.880900733
Brazil,South,18.08321946
Brazil,Southeast,13.31091145
BritishIsles,BritishIsles,1.64
Cambodia,Cambodia,1.746006949
Canada,East,50.99960313
Canada,West,29.9684256
Caucas,Caucas,4.653233455
CentralAfrica,CentralAfrica,3.415911063
CentralAmerica,CentralAmerica,6.303509287
CentralSouthAmerica,CentralSouthAmerica,21.67965139
Chile,Chile,7.267378309
China,Central,240.8816594
China,East,14.87442831
China,North,2.793294844
China,Northeast,6.098945234
China,Northwest,50.88330694
China,South,134.1832341
China,Tibet,148.3361276
China,Uygur,12.57223217
Colombia,Colombia,16.15352937
Congo,Congo,9.178859505
Ecuador,Ecuador,3.853395139
Egypt,Egypt,3.81868017
Ethiopia,Ethiopia,22.97330305
Finland,Finland,2.38961875
France,France,16.45360676
Germany,Germany,4.655513669
Iberia,Iberia,16.05661484
Iceland,Iceland,2.020057986
India,CentralEast,0.19501079
India,CentralSouth,14.24177493
India,CentralWest,6.180111964
India,East,7.159757235
India,North,29.30251205
India,NorthEast,3.893961895
India,NorthWest,0.850001851
India,South,5.261461098
India,Up,0.620955898
India,West,5.727880415
Indonesia,JavaTimorLeste,2.993552549
Indonesia,KalimantanSulawesi,11.63384457
Indonesia,PapuaNewGuinea,14.07860341
Indonesia,Sumatra,3.669074087
Iran,Iran,9.074829669
Iraq,Iraq,3.938467699
Italy,Italy,12.7788024
Japan,East,6.909032603
Japan,West,8.30602946
Kazakhstan,Kazakhstan,2.627996611
KenyaUganda,KenyaUganda,3.217780271
KyrgyzstanTajikistan,KyrgyzstanTajikistan,14.293432
Laos,Laos,4.772339418
Lebanon,Lebanon,0.011139589
Libya,Libya,0.010069498
Madagascar,Madagascar,6.996068677
Malaysia,EastBrunei,5.006178512
Malaysia,WestSingapore,2.714008884
Mexico,Central,5.703389805
Mexico,North,0.765370526
Mexico,Northwest,0.509502266
Mexico,South,10.93828791
Mongolia,Mongolia,0.695730971
Morocco,Morocco,1.302602377
Myanmar,Myanmar,26.45197052
NepalBhutan,NepalBhutan,9.544974841
NewZealand,NewZealand,5.731204605
Nigeria,North,4.582566678
Nigeria,South,0.136900495
NorthKorea,NorthKorea,3.675027705
Norway,Norway,29.2104239
Pakistan,North,11.24161794
Pakistan,South,1.079846685
Peru,Peru,17.49086315
Philippines,Philippines,3.682791004
Poland,Poland,0.513
Russia,Central,0.496
Russia,Fareast,50.8689496
Russia,Northwest,3.726444934
Russia,Siberia,30.26446402
Russia,South,5.286535142
Russia,Ural,0.012344477
Russia,Volga,8.929507919
SaudiArabia,SaudiArabia,0.071040031
Slovakia,Slovakia,2.19315
Somalia,Somalia,0.383307483
SouthAfrica,SouthAfrica,2.458471676
SouthEastAfrica,SouthEastAfrica,21.69617648
SouthKorea,SouthKorea,1.351006101
SouthWestAfrica,SouthWestAfrica,7.454214046
SriLanka,SriLanka,1.645
SudanEriteria,SudanEriteria,13.31806686
Sweden,Sweden,14.71321573
Switzerland,Switzerland,9.314302958
Syria,Syria,1.855908952
Taiwan,Taiwan,0.979344392
Tanzania,Tanzania,4.375220044
Thailand,Thailand,2.90322137
Tunisia,Tunisia,0.033
Turkey,Turkey,20.01003281
Turkmenistan,Turkmenistan,0.044664685
USA,Alaska,5.346767911
USA,California,9.395437643
USA,Carolinas,3.856300429
USA,Central,1.544400225
USA,Gulf,1.532700192
USA,MidAtlantics,2.385462947
USA,Midwest,3.590000416
USA,NENY,4.92330068
USA,Northwest,33.54733925
USA,Southern,4.935800217
USA,Southwest,0.584200782
USA,TVA,4.152904119
USA,Texas,0.551701183
UkraineMoldova,UkraineMoldova,4.72151069
Uzbekistan,Uzbekistan,1.805405658
Venezuela,Venezuela,16.41781631
Vietnam,Vietnam,17.44644202
WestNorthAfrica,WestNorthAfrica,1.723343105
WestSouthAfrica,WestSouthAfrica,4.420711551
WestWestAfrica,WestWestAfrica,7.880507893
Yemen,Yemen,0.156455325
