region,grid,ele
Afghanistan,Afghanistan,43078.74415226543
KyrgyzstanTajikistan,KyrgyzstanTajikistan,76672.45578919679
Kazakhstan,Kazakhstan,8442.010075012786
China,Uygur,58472.97703975406
China,Northwest,211556.80469940236
China,Central,1014085.9086926464
China,East,77056.4495810264
China,North,6632.449923800436
China,Northeast,8542.078637981813
China,South,565787.2599101913
China,Tibet,602089.4563164134
NorthKorea,NorthKorea,2547.8547066723204
SouthKorea,SouthKorea,1081.7970390636913
Russia,Fareast,202273.5189695629
Russia,Siberia,124628.1763579174
Russia,Ural,79.61399100631087
Russia,Volga,40131.74122532347
Russia,Central,1613.9846189039938
Russia,Northwest,22409.74294531205
Russia,South,15287.769006610117
Mongolia,Mongolia,4458.4404735823455
Belarus,Belarus,0.0
Baltic,Baltic,952.7542401599272
Finland,Finland,9140.327936004842
Norway,Norway,51742.986890198285
BritishIsles,BritishIsles,2772.8274951967096
Denmark,Denmark,0.0
Germany,Germany,11150.705956345188
AustriaHungary,AustriaHungary,17487.34656143225
BalkanEast,BalkanEast,15278.920772177038
Turkey,Turkey,70696.04289243922
Iran,Iran,27044.45652805417
Caucas,Caucas,7609.871003907486
UkraineMoldova,UkraineMoldova,6579.522022020609
Poland,Poland,380.4615096067976
Slovakia,Slovakia,4059.211655476689
Sweden,Sweden,47793.429898816124
Pakistan,South,4766.003947249184
Pakistan,North,46077.69324932919
Turkmenistan,Turkmenistan,256.3485208734229
Uzbekistan,Uzbekistan,6832.036279307131
Iraq,Iraq,19288.49110826713
Syria,Syria,7999.072484140037
Gaza,Gaza,0.0
Egypt,Egypt,4880.033959704474
Libya,Libya,44.5978267464373
Tunisia,Tunisia,158.3692543461971
Algeria,Algeria,490.7830805357245
Morocco,Morocco,2279.9401048703835
Iberia,Iberia,23910.711500219662
France,France,28792.17773689313
Benelux,Benelux,278.210039011455
Italy,Italy,12539.417597198631
BalkanWest,BalkanWest,22245.158618374164
Switzerland,Switzerland,12469.6876010035
Israel,Israel,0.0
Lebanon,Lebanon,37.65324099320363
Vietnam,Vietnam,34086.35174218973
Cambodia,Cambodia,3791.960056013455
Laos,Laos,12393.213649289632
Thailand,Thailand,5264.115299721767
Malaysia,WestSingapore,2715.9553467191085
Malaysia,EastBrunei,13058.525262235
Indonesia,KalimantanSulawesi,61992.00652347322
Indonesia,Sumatra,16902.25321574451
Indonesia,JavaTimorLeste,5564.441112491253
Indonesia,PapuaNewGuinea,42875.72316802409
Myanmar,Myanmar,79844.83684731124
Canada,East,143496.67928702905
Canada,West,117944.70971701396
USA,Midwest,16837.752029338717
USA,Northwest,116452.9259455489
USA,California,30511.91857515741
USA,Texas,3817.4600830982617
USA,Central,6649.860094642248
USA,Gulf,6581.610496099567
USA,Southern,15766.23461914329
USA,Carolinas,6384.987496947
USA,MidAtlantics,9514.155981427177
USA,NENY,13193.26085226617
USA,TVA,21304.77877386497
USA,Southwest,3288.490363548466
USA,Alaska,7116.996366371959
Mexico,Northwest,3390.2536443051854
Mexico,Central,17205.24726035919
Mexico,North,2349.3186224261167
Mexico,South,36687.39943742717
CentralAmerica,CentralAmerica,23230.88314295695
Argentina,East,0.0
Argentina,NorthEastUruguay,5269.554628866518
Argentina,West,19035.504362319985
Brazil,South,14815.634907155412
Brazil,North,152737.72662915866
Brazil,Northeast,42848.4070020682
Brazil,Southeast,35952.9797521438
Brazil,SanPaulo,9386.961053314071
Venezuela,Venezuela,47507.76787401067
Colombia,Colombia,47115.84253023873
Ecuador,Ecuador,7952.044743755849
Peru,Peru,59739.84942948782
Chile,Chile,14688.9154268192
CentralSouthAmerica,CentralSouthAmerica,27640.54568790761
CentralAfrica,CentralAfrica,18583.35261968493
Congo,Congo,28466.7825398022
SouthEastAfrica,SouthEastAfrica,76008.82504445486
SouthAfrica,SouthAfrica,7822.181274553848
SouthWestAfrica,SouthWestAfrica,34539.01416233499
Tanzania,Tanzania,17241.462896791796
KenyaUganda,KenyaUganda,17327.753077623158
Ethiopia,Ethiopia,102422.03266294644
SudanEriteria,SudanEriteria,41443.77365655237
WestNorthAfrica,WestNorthAfrica,6384.35588318856
Nigeria,North,15334.641474259744
Nigeria,South,636.3576100945357
WestSouthAfrica,WestSouthAfrica,23157.823234571068
WestWestAfrica,WestWestAfrica,31757.30422344205
Bangladesh,Bangladesh,1469.732147600394
India,NorthEast,12596.679315782922
India,East,14096.28978060282
India,CentralEast,622.2384814571793
India,North,90605.59703491164
India,NorthWest,2297.774434852991
India,CentralWest,12086.913837786313
India,CentralSouth,43580.34445317531
India,South,6283.509724385103
India,Up,1688.224185739443
India,West,18464.409268180865
NepalBhutan,NepalBhutan,39110.89699793914
Iceland,Iceland,5505.555405070254
Madagascar,Madagascar,22622.660674336978
NewZealand,NewZealand,22513.346445868585
Philippines,Philippines,10017.830722872011
Somalia,Somalia,1424.3970828637036
SriLanka,SriLanka,1600.4927824942774
Taiwan,Taiwan,2875.915262870516
Yemen,Yemen,622.0679967629645
Kuwait,Kuwait,0.0
SaudiArabia,SaudiArabia,465.23632881984935
UnitedArabEmirates,UnitedArabEmirates,0.0
Oman,Oman,0.0
Australia,East,3956.615898803172
Australia,West,197.21377719759155
Japan,East,5790.718605727601
Japan,West,9373.513320806182
