scen,hydro,upv,dpv,onshore,offshore,coal,nuclear,gas,bio,sum_gen
Base,5669,13912,6014,19276,3409,303,10390,1454,972,61400
HigherDLS,5721,15388,6128,20785,3493,296,10393,1624,1025,64854
WithoutDLS,5604,12388,5946,17300,3341,308,10394,1297,917,57495
WithoutHPExpansion,3835,15302,6288,19453,3532,310,10489,1546,1015,61770
SlowerNuclearExpansion,5672,15180,6193,20100,3546,317,8107,1561,1011,61689
SlowerTechAdvancement,5878,11456,1351,18893,6157,389,11064,2986,2315,60487
LowerVRESupply,5688,15418,4120,19505,2848,504,10512,1729,1050,61375
LimitedTxExpansion,5622,17140,6344,15672,3646,418,9623,2139,1356,61962
DemandingDLS,5857,12774,1879,17428,4957,749,11094,5531,3533,63802
FreeTrade,5549,12769,7648,21143,2668,297,9784,1057,703,61617
HigherHeatElectrification,5513,12963,5398,20689,3698,422,9346,2169,1330,61527
PreRetiredThermalPower,5736,11588,5754,20785,4633,333,10115,956,1215,61117
DemandResponse,5587,14675,6034,18530,3085,275,10715,941,674,60516
HigherElecDemand,5686,15053,6287,21444,3849,392,10389,2026,1036,66161
WithoutEmisCap,5453,6286,4257,12833,1868,7483,11516,9450,51,59198
