scen,hydro,upv,dpv,onshore,offshore,coal,gas,bio,nuclear,phs,bat,peak_dem,sto_eng
Base,1643,9082,4306,5588,768,1145,2063,166,1335,607,4336,9300,22200
HigherDLS,1648,10006,4376,5995,788,1144,2194,173,1335,609,4733,9835,23804
WithoutDLS,1633,8149,4266,5072,753,1145,1937,157,1335,609,3961,8688,20716
WithoutHPExpansion,1171,10006,4545,5599,792,1145,2074,174,1335,733,4690,9300,24624
SlowerNuclearExpansion,1645,9915,4449,5851,802,1146,2122,174,959,650,4734,9300,24136
SlowerTechAdvancement,1687,7398,951,5444,1466,1149,1949,369,1331,594,1744,9300,11728
LowerVRESupply,1648,10091,2955,5732,679,1161,2078,178,1335,604,4176,9300,21536
LimitedTxExpansion,1649,11185,4606,4896,821,1144,2532,242,1283,663,5699,9300,28100
DemandingDLS,1692,8211,1340,5300,1238,1160,2499,530,1333,624,1849,9835,12388
FreeTrade,1616,8390,5401,6235,602,1144,2023,125,1309,726,4592,9300,24176
HigherHeatElectrification,1613,8413,3817,6116,842,1144,2551,221,1335,494,4100,11642,20352
PreRetiredThermalPower,1666,7531,4114,6190,1161,162,1128,362,1336,484,3666,9300,18536
DemandResponse,1610,9613,4328,5373,690,1138,1553,121,1335,439,3629,9300,18028
HigherElecDemand,1646,9808,4506,6204,865,1145,2188,170,1335,613,4660,9987,23544
WithoutEmisCap,1569,4061,2988,3696,390,1216,2685,81,1330,425,1095,9300,7780
