,Coal,Nuclear,Gas,Hydro,Bio,CCS,Onshore wind,Offshore wind,UPV,DPV,Storage,UHV trans,Trunk trans,Spur trans,SCOE
Base,1.871365901,5.10595659,3.362552732,6.535855683,2.170798435,0.791921962,8.288076652,1.757057646,4.676326491,2.53147827,4.219664696,2.928671828,2.465125754,2.238373212,48.94322585
HigherDLS,1.759839403,4.841619913,3.403380572,6.214357208,2.185359675,0.80906213,8.523355864,1.712303835,4.963892893,2.453417146,4.323549834,2.962582397,2.524087197,2.336674128,49.0134822
WithoutDLS,2.005157272,5.443078787,3.344077505,6.927272159,2.164720537,0.781103917,7.875361046,1.831911717,4.346666633,2.661228967,4.159929137,2.909095768,2.421821199,2.119843575,48.99126822
WithoutHPExpansion,1.868211181,5.124926122,3.42768977,4.824902347,2.27705808,0.831433316,8.357852289,1.816051186,5.103869904,2.657011817,4.564423685,2.900627966,2.415781319,2.233466576,48.40330556
SlowerNuclearExpansion,1.890191541,4.105789345,3.522980516,6.543527601,2.271817045,0.846928258,8.70007254,1.837391288,5.043116177,2.644829272,4.572140635,2.985674859,2.599256113,2.36865342,49.93236861
SlowerTechAdvancement,1.880248858,7.444437974,4.747117626,7.723664985,4.709955795,1.455874713,10.75815483,3.590031083,5.974061389,0.86114282,3.684883057,3.132517369,2.465072383,2.432412563,60.85957544
LowerVRESupply,2.120047978,5.129265841,3.705901319,6.550406261,2.371334232,1.085294422,8.469201061,1.570736792,5.04310974,1.772887204,4.106000312,3.041619884,2.708100859,2.34394285,50.01784876
LimitedTxExpansion,1.942054321,4.863079402,4.39710293,6.556521925,3.127335238,1.148000335,7.181833995,1.91340304,5.914007852,2.733764751,5.438388156,1.673657656,2.466221119,2.306890061,51.66226078
DemandingDLS,2.093096491,7.069749133,6.894796367,7.34094958,6.923615479,2.649256736,9.862762396,2.910268242,6.509124095,1.240728778,3.738425824,2.45397856,2.412875988,2.187346226,64.28697389
FreeTrade,1.861725854,4.888395323,2.998616542,6.440609509,1.617246833,0.621630311,6.655342984,1.186926313,3.451681241,2.777122344,3.051607593,2.979341255,2.362534194,2.137712191,43.03049249
HigherHeatElectrification,1.936657262,4.898686443,4.305025631,6.447101004,2.987467126,1.144373502,9.005314367,1.921688696,4.356759284,2.25694951,3.98501517,3.128903399,2.504987599,2.278964519,51.15789351
PreRetiredThermalPower,0.554074067,5.066921639,3.107906807,6.607039806,2.793808453,0.624313895,9.230746966,2.591456952,3.999464431,2.465562337,3.617694187,3.419664348,2.533452505,2.38176036,48.99386675
DemandResponse,1.831832129,5.14560597,2.577477995,6.432777234,1.552049658,0.573762108,7.859235171,1.57708636,5.015186965,2.545176139,3.576407414,2.544897991,2.421172498,2.185544842,45.83821247
HigherElecDemand,1.883941772,4.749468452,4.047471134,6.087572366,2.189739197,1.060167484,8.66857255,1.884759946,4.750688759,2.503799781,4.191870784,2.923402874,2.511526153,2.294062408,49.74704366
WithoutEmisCap,5.63238869,5.280124582,9.158504985,6.299844042,0.359931651,0.001797917,5.362670662,0.904356667,2.17924023,1.726038048,1.519162174,2.039507857,1.5725654,1.271107681,43.30724058
