scen,cap_dist
Base,6275.287090000004
HigherDLS,6694.394690000002
WithoutDLS,5843.629950000004
WithoutHPExpansion,6219.6961999999985
SlowerNuclearExpansion,6403.697710000001
SlowerTechAdvancement,6695.364410000003
LowerVRESupply,6519.835620000003
LimitedTxExpansion,3591.0948900000008
DemandingDLS,5580.906150000006
FreeTrade,6481.337470000003
HigherHeatElectrification,6717.969100000002
PreRetiredThermalPower,7342.633470000005
DemandResponse,5436.90242
HigherElecDemand,6732.030130000004
WithoutEmisCap,4350.776550000004
