region,Base,HigherDLS,WithoutDLS,WithoutHPExpansion,SlowerNuclearExpansion,SlowerTechAdvancement,LowerVRESupply,LimitedTxExpansion,DemandingDLS,FreeTrade,HigherHeatElectrification,PreRetiredThermalPower,DemandResponse,HigherElecDemand,WithoutEmisCap,tag,Historical,HighDLS,HigherElectrification,Base_dem
Afghanistan,0.863298884950812,0.8075714807898814,1.0,0.9288627221138862,0.8844631437590723,1.0,0.809177229537777,0.95668866873584,0.9653629440309924,0.8642738584863578,1.0,0.7427898779547673,0.866937045652184,0.8282422687192501,0.6982774162416546,ASIA,28,269,231.0,192
Algeria,0.6277654391714389,0.6289913511285506,0.6305246532403455,0.6168223597106255,0.6273109075397277,0.3858945532124701,0.7325791128843524,0.982849636171402,0.7786337581466855,0.863315136185403,0.7839149479719788,0.5805442161849517,0.3409202561545298,0.6905905946064419,0.7961294821752535,MAF,263,263,263.0,263
Argentina,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LAM,108,180,155.0,129
Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,336,336,410.0,336
AustriaHungary,0.4732222882153817,0.47531423529061,0.4735078248218251,0.4664110992280704,0.4719095572413598,0.4276514518715638,0.4612056412791109,0.5700884850048289,0.4347793173319901,0.5166293204229516,0.4576666194258578,0.4435956895631101,0.4681707266606767,0.4134244739820707,0.4476504854041849,OECD90+EU,154,154,181.0,154
BalkanEast,0.6409490251986631,0.633159729256512,0.6503444464126757,0.7033070496681817,0.6551547266836893,0.5759018181886097,0.5019818167700517,0.9474478623156412,0.4648859750041014,0.5516379394977742,0.46480957597866,0.6219871707345446,0.5723201875687669,0.6779506142317716,0.8069626251845615,OECD90+EU,247,247,247.0,247
BalkanWest,0.3628343888787685,0.3599574393525625,0.3680534299080364,0.4283893478502658,0.3850623567308888,0.2327782499739362,0.3115880082683984,0.6668003036447594,0.2390407402752474,0.3912821259421574,0.2245686658580417,0.3231627779908537,0.317186954875466,0.4174184933219612,0.4005977327783162,OECD90+EU,151,151,156.0,151
Baltic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,48,48,48.0,48
Bangladesh,1.0,0.8766107650384329,1.0,1.0,0.9926177103636268,1.0,0.9827965497542068,1.0,0.8367077306673012,0.99897909897212,0.9997723194611524,0.889572210487196,1.0,0.9617773580219142,1.0,ASIA,275,751,644.0,537
Belarus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7640288079225743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,REF,113,113,113.0,113
Benelux,0.9674820338615652,0.9690315293070544,0.96448358565098,0.9550131427397328,0.9658270445917198,1.0,0.961689934943869,1.0,1.0,1.0,1.0,0.9129700527894812,1.0,0.9136356984008688,0.8971889314852534,OECD90+EU,285,285,314.0,285
Brazil,0.9524382463347912,0.9616504650864668,0.9488933764152976,0.9369423087561168,0.952373596015092,0.8742491024114993,0.9412357574360258,0.8796572773484119,0.8668548505697274,0.8265084947715823,0.962542168261866,0.977499851400774,0.9805003699706007,0.9493421212103426,0.8762469995799526,LAM,985,985,1035.0,985
BritishIsles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,530,530,534.0,530
Cambodia,0.7858131172822148,0.7836209356143217,0.7892632093193533,0.7872409145625061,0.7921530893334623,0.8424642715628776,1.0,1.0,1.0,1.0,0.7983248038883326,0.8054327828892816,0.9714954242609412,0.7913918861773785,0.7309898397565182,ASIA,90,90,90.0,90
Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,793,793,913.0,793
Caucas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,REF,61,61,73.0,61
CentralAfrica,0.080654432004233,0.0794353218334964,0.2686860167763398,0.0470562161397846,0.0757947452317968,0.0714343366626559,0.071902743257623,1.0,1.0,0.0675972042769386,0.078998971241159,0.080654432004233,0.0674092055668064,0.0780303265501993,0.9424299540382068,MAF,69,280,240.0,200
CentralAmerica,0.7560416056796133,0.7867433803972066,0.7321352985577898,0.7588907413126595,0.7680010716530479,0.6763735488725171,0.7186856137062153,1.0,0.6616285166979425,0.8403485369826893,0.7520990466592162,0.7762535905182497,0.6643482093659742,0.7847202711786954,0.738693635215327,LAM,208,233,208.0,208
CentralSouthAmerica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LAM,85,87,146.0,85
Chile,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988435333558248,1.0,0.9108552593548334,1.0,1.0,0.9169424989812858,1.0,0.9171736265113968,LAM,132,132,132.0,132
China,1.0,1.0,1.0,1.0,1.0,0.9985202974348648,0.9970962157569564,1.0,0.9919590199777466,0.8883914525540961,0.98559847492249,0.9983382330243764,1.0,1.0,1.0,ASIA,14832,14832,14832.0,14832
Colombia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LAM,251,251,251.0,251
Congo,0.6630145454591685,0.6749065213205885,0.4889829608581399,0.6217405109714562,0.655597806690754,0.6568014674393203,0.6302353954320343,1.0,0.9995919961466272,0.5894576074739603,0.6561307901972241,0.6630145454591685,0.5948165517166988,0.6666811627503166,0.9964141210254336,MAF,83,764,655.0,546
Denmark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,86,86,86.0,86
Ecuador,0.6344881501106876,0.504037618382128,0.6404532981340171,0.4709560861545534,0.6349799829263065,0.5587126729938585,0.585048385152009,0.9543798989028208,0.9589038399654272,0.5492308778931794,0.6507003214879772,0.4744090155891517,0.535309762670644,0.5642785972970523,0.7356820294591899,LAM,57,75,64.0,57
Egypt,0.8529510198311256,0.8555329539366658,0.8512651189386885,0.8627540858189802,0.8614027884637504,0.6924547880629499,0.8629924402135228,1.0,1.0,1.0,0.7908789533048302,0.6441929177939552,0.8727479858682619,0.8555586289035875,0.7813398912569053,MAF,688,688,688.0,688
Ethiopia,0.5208199112868765,0.4347957408330574,0.5228434225634936,0.4076927035608183,0.5139947202663463,0.541582107809651,0.4621200929710161,0.9946030447452828,0.9891019610237072,0.4329921214093443,0.5221553678754012,0.5208199112868765,0.517870671815712,0.4869036968756469,0.639767754061011,MAF,286,788,675.0,563
Finland,0.4001250954842134,0.4091099387304687,0.3987602153892923,0.4359170592414007,0.4948481887157036,0.9222930087966246,0.6223904672080349,0.7912221791943369,1.0,0.354791007679647,0.4244425672914683,0.3336437998743801,0.3354093434448759,0.5109555795602911,0.2645757078254097,OECD90+EU,172,172,172.0,172
France,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9074993630488276,1.0,1.0,1.0,1.0,OECD90+EU,686,686,726.0,686
Gaza,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,31,57,49.0,41
Germany,0.5570051492422352,0.5572187300741596,0.5569914665209482,0.5642353922443613,0.5539258587892631,0.5723810922506415,0.5003530200529831,0.7664829780212539,0.4718160142375774,0.4680195797247003,0.6064284713329438,0.5788997683050343,0.637066534587486,0.5846631014128216,0.5663867666919027,OECD90+EU,795,795,810.0,795
Iberia,0.6148299307271847,0.6155926168086228,0.6154597354014576,0.6050644481128522,0.6132224745067673,0.513795822943381,0.5531817230883183,0.9779043502689208,0.7123087122980771,0.5532055603996847,0.561929933492475,0.5766030836625511,0.6054075676771182,0.618787718581336,0.6318954486334522,OECD90+EU,566,566,566.0,566
Iceland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,31,31,31.0,31
India,0.9943885095930582,1.0,0.9645243454277536,0.9977698710824188,0.9955256426216894,0.973462964364348,0.9965260647748244,0.9944445908950222,0.9965058510174448,0.9978339179609562,0.990672346366134,1.0,1.0,1.0,0.8828567039202122,ASIA,6930,6930,6930.0,6930
Indonesia,1.0,1.0,1.0,0.9794251431501252,1.0,1.0,1.0,0.9999984993691992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ASIA,872,1122,962.0,872
Iran,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,418,418,511.0,418
Iraq,0.6384036397978958,0.6413078664301642,0.6370573467888809,0.642030242012106,0.6593524534613686,0.5955448397237804,0.6445082944695824,0.9253249673109528,0.6197542493711922,0.9572255140559436,0.5557503339307168,0.6331457065931506,0.6268976951599918,0.6575553935463769,0.8871469074453152,MAF,352,352,352.0,352
Israel,0.2299597681297863,0.2203332460332994,0.2289625813111321,0.2401428162622393,0.2352418051751886,0.1771621768956942,0.192452425206949,0.8336378072230686,0.1618381895743561,0.2035812245718551,0.2005587018253137,0.2448226271571965,0.2638994720378756,0.2313900226097999,0.851815118823523,MAF,117,117,117.0,117
Italy,0.6936615319644943,0.6939855183217081,0.6988678525243573,0.6947341509048403,0.7018839275861833,0.3151214412044701,0.5182087814862419,0.8411659451769468,0.3680830454326455,0.6881952208224669,0.4089952974311034,0.6393953832277885,0.6018231097647952,0.5355201489988601,0.6921578576902545,OECD90+EU,305,305,484.0,305
Japan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,977,977,1550.0,977
Kazakhstan,0.4209418801933219,0.4985264748457132,0.35043973459866,0.402861321734678,0.5275223076301514,0.0483861794242629,0.5515930169492751,0.7221673443204439,0.1061454581703709,1.0,0.799741099540118,1.0,0.0686704583884131,0.4646028781300484,0.3851298441273519,REF,229,229,229.0,229
KenyaUganda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,99,592,507.0,423
Kuwait,0.8338349037878189,0.8338349037878189,0.8338349037878189,0.8325294563026713,0.6850759277911784,0.9207863762609688,0.7277031612726901,0.9972330036190308,0.928955145948642,0.9201003460978864,0.8493824908865785,0.6513186959664142,0.8463227985046664,0.8338349037878189,1.0,MAF,221,221,221.0,221
KyrgyzstanTajikistan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,REF,58,88,76.0,63
Laos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9564308446788852,1.0,1.0,0.6957853697825419,ASIA,39,39,39.0,39
Lebanon,0.2180317423982503,0.2098336101726426,0.2183272178811259,0.2118308522047381,0.224316537179007,0.1443495926195044,0.1558725242418485,0.584715799878176,0.1024879693481298,0.2057290552413799,0.1880661378793705,0.2281814705719523,0.263578814841923,0.2240038441712279,0.7220870032532078,MAF,76,76,76.0,76
Libya,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765465681081074,0.9476116414188778,1.0,1.0,1.0,1.0,1.0,1.0,MAF,64,64,64.0,64
Madagascar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,2,186,160.0,133
Malaysia,0.9063569497469774,0.9484097997299816,0.9070437306997794,1.0,0.9197616710249408,0.7796004638803646,0.8893787180546074,1.0,0.9995682077302512,0.999122857353739,0.901183120195202,0.8162646135356241,0.8840047997683738,0.9279015207515572,0.7554573897555509,ASIA,399,399,399.0,399
Mexico,0.9961710546118973,0.9085156266925896,1.0,0.9764875217493496,0.9771042316136704,1.0,1.0,0.9464504544456658,0.894618248880763,1.0,0.9563547931656518,1.0,1.0,0.9510296740581538,0.9467861263468615,LAM,350,521,447.0,372
Mongolia,-0.7254696830828924,-0.4929214756268789,-0.7333989936362992,-1.060434113786358,-0.8042790636769135,-0.3761050907054564,-0.8891009612836531,0.5643370648962689,0.5168500895738853,1.0,-0.9796035084567198,-1.010432365316804,-0.1348281236398303,-0.6547022191283496,0.3988322257968543,ASIA,11,16,14.0,11
Morocco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,227,227,227.0,227
Myanmar,0.8770668271702541,0.8793863414270272,0.8769113742159612,0.7269256448290744,0.8882671141051216,0.7176204877529513,0.9363866052368064,0.998633286331292,0.9048784621348808,1.0,0.9145895215926136,0.6334275224556555,0.77050068258537,0.8781210269318418,0.6308359480112045,ASIA,287,287,287.0,287
NepalBhutan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901540778171874,0.831474924047412,1.0,1.0,ASIA,52,124,107.0,89
NewZealand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OECD90+EU,49,49,66.0,49
Nigeria,0.3163793055562413,0.2897012458199151,0.2635097529022797,0.3149886190267317,0.3109511892769017,0.2712035712212874,0.2799258381925243,0.9954006170679028,0.9937066590858052,0.3754671415474434,0.3153003510728438,0.3163793055562413,0.3731499328903286,0.30020664739836,0.9661005293286432,MAF,946,1257,1078.0,946
NorthKorea,0.0070831281495011,-0.0044540454749999,0.0066297839398964,0.0025314619919648,-0.0337142096270164,0.0103787359489155,0.0070957899228317,0.7886920143061231,0.0207596465730518,0.1298189474520904,-0.0147162588700948,0.0043622230278231,0.0033252260637215,-0.052492328698162,0.0087130570228255,ASIA,64,90,77.0,64
Norway,0.729092117470685,0.7292971657988787,0.7345272622774957,0.7714275696248776,0.7797561105550288,0.9698230417971124,0.5516046866764857,1.0,0.6141069602223888,0.5872131161945785,0.7649325684065157,0.7197415611849123,0.7595852977892761,0.6528064022678539,0.6778507625376351,OECD90+EU,148,148,201.0,148
Oman,0.4596787877511584,0.4596787877511584,0.4596787877511584,0.460538066412948,0.6680502877818464,0.7591350666081561,0.3732347161806149,0.8427831113677388,0.7328162054732693,0.3192886142337421,0.4587277249629085,0.3198668550446567,0.3301732211715865,0.4596787877511584,0.375158031425825,MAF,140,140,140.0,140
Pakistan,0.789888711325724,0.7933469536943315,0.7838074403340735,0.7821409238699093,0.7724709947013928,0.7498883912239837,0.7630740672721825,1.0,0.7688316289402082,0.6564639469998983,0.9024842996892464,0.6669451153761048,0.7998475260582473,0.8052570155508637,0.9387088948590556,ASIA,1706,1706,1706.0,1706
Peru,0.9197656884809668,0.9591887529743162,0.91366846425016,0.8168662147787665,0.9196391428068488,0.7804508967773925,0.9094140964584972,0.9975822833417516,0.9867596359563412,1.0,0.9521559145098224,0.8735331858334113,1.0,0.9668292775589832,0.9590874575579452,LAM,193,193,193.0,193
Philippines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ASIA,289,470,403.0,336
Poland,0.8135562535011792,0.8213867698638895,0.8133559392915821,0.8223264644182089,0.9283343543343416,1.0,0.8985221352963806,1.0,0.8783315690352179,1.0,1.0,0.9902240312980324,1.0,0.6987719659437297,0.7498190158694469,OECD90+EU,186,186,265.0,186
Russia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,REF,1650,1650,1725.0,1650
SaudiArabia,0.8706901394047853,0.8706901394047853,0.8706901394047853,0.8709099337362716,1.0,0.7624632455698168,0.8982677792628699,1.0,0.7527790145999658,0.9342082929301962,0.8669856769569617,0.9450639351940708,0.8616630585616343,0.8706901394047853,0.7233999231170941,MAF,1180,1180,1180.0,1180
Slovakia,0.5590077930267517,0.5568592071478664,0.5588138040827537,0.5636274146388833,0.5502386150468311,0.5594489631041157,0.5738677370915422,0.9433827180077424,0.5557867063259329,0.5872845514644363,0.4798145718641196,0.5517509054111633,0.5874575751540451,0.5670983678576795,0.6274073653401262,OECD90+EU,157,157,157.0,157
Somalia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,7,136,116.0,97
SouthAfrica,1.0,1.0,0.9581275441009426,1.0,0.9954271932181517,1.0,1.0,0.9994843604956256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,365,365,365.0,365
SouthEastAfrica,0.9762062413109424,0.9295381766824036,0.8040650826183482,0.9288926602164332,0.984334848605914,0.8723632061145543,0.9579251736220245,1.0,0.9144831946568792,1.0,0.9670953652511316,0.9762062413109424,0.928972393899616,0.957177458425563,0.9892165459466083,MAF,378,577,495.0,412
SouthKorea,0.9847432575553016,0.985213502268148,0.9845698346276782,0.9821394130146648,0.7394204366309962,1.0,0.9860175736170512,1.0,0.9996811188738924,1.0,0.9136294208611304,0.9820287068018312,1.0,0.7162288787259927,1.0,ASIA,675,675,930.0,675
SouthWestAfrica,0.9380326949014473,0.9456629669734418,0.9928098491466518,0.9105744699742204,0.947416633035668,0.9559925975279928,0.9393311083265344,0.9926502545110916,0.9831805799773532,0.9704977801971628,0.9515142827315362,0.9380326949014473,0.9223789206242512,0.943684722009616,0.9807434636362976,MAF,102,288,247.0,206
SriLanka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ASIA,44,87,74.0,62
SudanEriteria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,81,318,273.0,227
Sweden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992375177561535,1.0,OECD90+EU,101,101,210.0,101
Switzerland,0.5578349509595948,0.5592173493464789,0.5580278454085814,0.5556270668111087,0.5388493584352088,0.4840638342440249,0.5383233853145588,0.7096916231154864,0.4941307643926544,0.4874012516183119,0.3734359678705353,0.5363898997672762,0.5237801518183982,0.4380948197453757,0.6744800731298995,OECD90+EU,72,72,98.0,72
Syria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8738288506673323,MAF,157,157,157.0,157
Taiwan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ASIA,547,547,547.0,547
Tanzania,0.345206655530921,0.3752007097760573,0.2482367406135216,0.3439443204301532,0.3369087023599971,0.3549082542614941,0.3540160215895894,0.9976187086444116,0.9979938503643848,0.406958405020707,0.3415638049929457,0.345206655530921,0.556439777637717,0.3629928446713067,0.8415841603250568,MAF,55,618,529.0,441
Thailand,0.7889635286868354,0.7904511372425562,0.7883591148847341,0.7877841245214112,0.7962320388009358,0.5807946761906121,0.8592835101892077,0.95839526252211,0.8592925610778428,1.0,0.7876860413039735,0.573274649835286,0.7356624936611922,0.7916407138354709,0.7874456788152666,ASIA,495,495,495.0,495
Tunisia,0.9616387806045928,0.9738221368827644,0.9573724652704184,0.9839685846611578,0.9856632324162508,0.6988004915636847,1.0,0.949350152678914,0.8632946255993156,1.0,0.9117370441524864,0.8587232450600306,0.7383340052362446,1.0,0.8333683526906673,MAF,63,63,63.0,63
Turkey,0.6775027049158433,0.6767936334480356,0.6756266640885992,0.6924803927829943,0.6535040316856509,0.6288058164999372,0.6571202625429204,0.8598496126645065,0.5921900209534134,0.6871286075795118,0.5654826301652638,0.7777517967450467,0.7034117812150739,0.688398057728144,0.6294569365844823,OECD90+EU,650,650,650.0,650
Turkmenistan,0.3073929154372987,0.4023571404835575,0.1551486022693343,0.3110025589022023,0.3309468515454747,0.0635004428096699,0.5909047668148337,1.0,0.8750731851213773,1.0,-0.0147001181578532,1.0,0.3488869742181064,0.391255450388687,0.4084046051878189,REF,44,44,44.0,44
USA,0.9175653739008413,0.9230921969419656,0.9187860427972206,0.9226626220628006,0.9177839849670352,0.8915728932200442,0.9232803612727678,0.985970518802885,0.9056744453787832,0.9419437837484964,0.9000859606405746,0.8719910705846661,0.9462917848768904,0.909918297562399,0.963733853199357,OECD90+EU,5482,5482,6492.0,5482
UkraineMoldova,1.0,1.0,1.0,1.0,1.0,0.9168778947005806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8446253076623623,REF,210,210,210.0,210
UnitedArabEmirates,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,861,861,861.0,861
Uzbekistan,0.2777680719287834,0.2177656597062631,0.3252761543048659,0.3911513274324735,0.2659233379639566,0.0740472081751395,0.199862716854248,0.3983222683121558,0.0699892997103557,0.3394036706419818,0.1010196754694805,0.13965858942539,0.3796287918837508,0.2898046320580544,0.3484272022601548,REF,149,183,157.0,149
Venezuela,0.928772299369046,0.9447712176237226,0.9250457013140384,0.9674016234658108,0.9289594648355224,1.0,0.9419204373293312,0.9972860387265922,1.0,1.0,0.9215401221741252,0.8710491474269348,0.8810542472672339,0.9794459837891556,0.9857565539133124,LAM,497,497,497.0,497
Vietnam,1.0,1.0,1.0,1.0,1.0,1.0,0.9105898586810184,0.9964086819679728,1.0,1.0,1.0,1.0,1.0,1.0,0.7302953675024739,ASIA,1035,1035,1035.0,1035
WestNorthAfrica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,12,320,274.0,228
WestSouthAfrica,0.0529864791509145,0.0638255010015522,0.1223332373693057,0.0743636809861332,0.0480556180670093,0.079234388232051,0.0745070889537997,1.0,0.998589710441359,0.3102302561513241,0.0477722137122501,0.0529864791509145,0.2388752038286339,0.0564188123704501,0.935612641552993,MAF,163,643,551.0,459
WestWestAfrica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,68,486,417.0,347
Yemen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MAF,39,248,213.0,177
